河北1套联通,#genre#
CCTV3综艺,http://110.241.190.7:808/hls/3/index.m3u8
CCTV4国际,http://110.241.190.7:808/hls/4/index.m3u8
CCTV5体育,http://110.241.190.7:808/hls/5/index.m3u8
CCTV6电影,http://110.241.190.7:808/hls/6/index.m3u8
CCTV7军事农业,http://110.241.190.7:808/hls/7/index.m3u8
CCTV8电视剧,http://110.241.190.7:808/hls/8/index.m3u8
CCTV9记录,http://110.241.190.7:808/hls/9/index.m3u8
CCTV10科教,http://110.241.190.7:808/hls/10/index.m3u8
CCTV11戏曲,http://110.241.190.7:808/hls/11/index.m3u8
CCTV12社会与法,http://110.241.190.7:808/hls/12/index.m3u8
CCTV13新闻,http://110.241.190.7:808/hls/13/index.m3u8
CCTV14少儿,http://110.241.190.7:808/hls/14/index.m3u8
CCTV15音乐,http://110.241.190.7:808/hls/15/index.m3u8
CCTV16外语,http://110.241.190.7:808/hls/16/index.m3u8
CCTV5+体育,http://110.241.190.7:808/hls/17/index.m3u8
河北卫视,http://110.241.190.7:808/hls/18/index.m3u8
湖南卫视,http://110.241.190.7:808/hls/19/index.m3u8
江苏卫视,http://110.241.190.7:808/hls/20/index.m3u8
北京卫视,http://110.241.190.7:808/hls/21/index.m3u8
天津卫视,http://110.241.190.7:808/hls/22/index.m3u8
深圳卫视,http://110.241.190.7:808/hls/23/index.m3u8
山东卫视,http://110.241.190.7:808/hls/24/index.m3u8
广东卫视,http://110.241.190.7:808/hls/25/index.m3u8
浙江卫视,http://110.241.190.7:808/hls/26/index.m3u8
黑龙江卫视,http://110.241.190.7:808/hls/27/index.m3u8
辽宁卫视,http://110.241.190.7:808/hls/28/index.m3u8
安徽卫视,http://110.241.190.7:808/hls/29/index.m3u8
湖北卫视,http://110.241.190.7:808/hls/30/index.m3u8
四川卫视,http://110.241.190.7:808/hls/31/index.m3u8
东方卫视,http://110.241.190.7:808/hls/32/index.m3u8
重庆卫视,http://110.241.190.7:808/hls/33/index.m3u8
东南卫视,http://110.241.190.7:808/hls/34/index.m3u8
广西卫视,http://110.241.190.7:808/hls/35/index.m3u8
吉林卫视,http://110.241.190.7:808/hls/36/index.m3u8
陕西卫视,http://110.241.190.7:808/hls/37/index.m3u8
山西卫视,http://110.241.190.7:808/hls/38/index.m3u8
内蒙古卫视,http://110.241.190.7:808/hls/39/index.m3u8
